CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption,,Growth rate
Company_1,Retail,Latin America,2015,459.2,6,337.5,57,60.7,33.5,76.8,35577.4,17788.7,71154.7,,4.33
Company_1,Retail,Latin America,2016,473.8,4.6,366.6,56.7,58.9,32.8,78.5,37314.7,18657.4,74629.4,,3.2
Company_1,Retail,Latin America,2017,564.9,5.2,313.4,56.5,57.6,34,77.8,45006.4,22503.2,90012.9,,19.2
Company_1,Retail,Latin America,2018,558.4,4.3,283,58,62.3,33.4,78.3,42650.1,21325.1,85300.2,,-1.1
Company_1,Retail,Latin America,2019,554.5,4.9,538.1,56.6,63.7,30,76.1,41799.4,20899.7,83598.8,,-0.7
Company_1,Retail,Latin America,2020,567.5,6,384.1,55.7,65.1,28.5,73.5,42245.4,21122.7,84490.9,,2.3
Company_1,Retail,Latin America,2021,604.2,5.2,479.3,55.6,66.8,25.5,74.6,44263.8,22131.9,88527.7,,6.5
Company_1,Retail,Latin America,2022,593.2,4.2,248.4,57.7,69,27.1,76.9,42536.3,21268.2,85072.6,,-1.8
Company_1,Retail,Latin America,2023,636.7,5.3,373.9,57.8,68.3,27,78.1,45956.3,22978.2,91912.6,,7.3
Company_1,Retail,Latin America,2024,687,4.6,460.1,58.5,68.9,29.9,76.8,49289.1,24644.5,98578.1,,7.9
Company_1,Retail,Latin America,2025,734.5,5,628.8,59.2,70.7,29.1,78,51805.8,25902.9,103611.7,,6.9
Company_2,Retail,Asia,2015,2934.8,-2.9,1803.1,59.9,61.1,48.6,69.8,226554.2,113277.1,453108.3,,4.33
Company_2,Retail,Asia,2016,3140.3,-1.1,13885.2,60.6,61.1,50.1,70.5,242555.1,121277.6,485110.3,,7
Company_2,Retail,Asia,2017,3463.1,-2.2,5283.7,61.7,61.4,53.1,70.5,266651.3,133325.7,533302.7,,10.3
Company_2,Retail,Asia,2018,2939.7,-1.7,4408,61.5,61.7,52,70.6,225701.3,112850.6,451402.6,,-15.1
Company_2,Retail,Asia,2019,3125.6,1.2,566.4,61.1,63.1,52.5,67.8,237019.5,118509.7,474039,,6.3
Company_2,Retail,Asia,2020,2999.8,-0.3,1997.8,63.3,64.2,57.9,67.9,225128.2,112564.1,450256.4,,-4
Company_2,Retail,Asia,2021,3167.9,-0.4,15634.9,63,62.9,60,66.1,240710.6,120355.3,481421.2,,5.6
Company_2,Retail,Asia,2022,3106.4,0.8,514.3,64,66.7,57.7,67.8,227761.4,113880.7,455522.7,,-1.9
Company_2,Retail,Asia,2023,3691.6,-0.7,2523.2,66,66.6,61.6,70,271015.1,135507.6,542030.3,,18.8
Company_2,Retail,Asia,2024,3822.9,-1.2,5807.8,65.7,65.4,63,68.7,283660,141830,567320,,3.6
Company_2,Retail,Asia,2025,4371.5,-2.4,20376.3,66.3,65.8,62.8,70.3,323282,161641,646564.1,,14.4
Company_3,Transportation,Latin America,2015,259.7,5.9,140.2,25.5,3.3,41.6,31.5,183314.5,30552.4,611048.2,,4.33
Company_3,Transportation,Latin America,2016,245.2,8.5,224,26.9,7,40.2,33.5,169346.3,28224.4,564487.8,,-5.6
Company_3,Transportation,Latin America,2017,282.4,6.5,289.7,27.9,8.8,42.6,32.3,192824.3,32137.4,642747.8,,15.2
Company_3,Transportation,Latin America,2018,300.2,3.1,100.7,28.2,8.3,42.9,33.5,205699.6,34283.3,685665.5,,6.3
Company_3,Transportation,Latin America,2019,322.6,5.1,290.7,29.8,14.8,43.6,31.2,212286.3,35381,707621,,7.5
Company_3,Transportation,Latin America,2020,337.9,2.7,76.5,30.8,17.7,42,32.6,218171.7,36362,727239,,4.7
Company_3,Transportation,Latin America,2021,348.4,4.5,128.8,31.6,18.5,43.9,32.2,223833,37305.5,746110,,3.1
Company_3,Transportation,Latin America,2022,389.6,7.1,327.9,31.3,18.8,44.9,30.2,249794.5,41632.4,832648.3,,11.8
Company_3,Transportation,Latin America,2023,415.2,8.1,498.7,32.3,20.2,43.8,32.9,263632.1,43938.7,878773.7,,6.6
Company_3,Transportation,Latin America,2024,438,10.3,739.4,32.1,23.4,41.5,31.5,272361.8,45393.6,907872.8,,5.5
Company_3,Transportation,Latin America,2025,479.8,11.6,1020.7,34.3,24.4,43.7,34.9,296242,49373.7,987473.3,,9.5
Company_4,Technology,Africa,2015,5036.7,21.2,23192.4,54.2,97.6,46.2,18.9,130146.6,78087.9,260293.2,,4.33
Company_4,Technology,Africa,2016,5192.5,25.1,25137.8,54.6,98.9,45.2,19.9,131888.8,79133.3,263777.6,,3.1
Company_4,Technology,Africa,2017,5497.1,23.4,33251,55.9,100,47.4,20.4,137428.2,82456.9,274856.3,,5.9
Company_4,Technology,Africa,2018,5978.5,26.1,31801,55.6,99.7,46.3,20.7,150000,90000,300000,,8.8
Company_4,Technology,Africa,2019,6529.4,28.2,42706.4,56,100,46.1,21.8,163234.8,97940.9,326469.6,,9.2
Company_4,Technology,Africa,2020,6123.5,30.6,38574.1,58.4,100,50.9,24.4,153087.8,91852.7,306175.6,,-6.2
Company_4,Technology,Africa,2021,5784.3,29.4,37578.6,60,100,55.1,24.8,144607.6,86764.6,289215.2,,-5.5
Company_4,Technology,Africa,2022,5711.3,26.1,35339.1,60.5,100,58.9,22.5,142781.6,85669,285563.2,,-1.3
Company_4,Technology,Africa,2023,5844.2,26.5,34781.6,62.6,100,64.1,23.8,146104.4,87662.6,292208.7,,2.3
Company_4,Technology,Africa,2024,6555.1,26,45451.6,63.5,100,64.8,25.6,163877.9,98326.7,327755.8,,12.2
Company_4,Technology,Africa,2025,7675.6,22.9,42400.4,64.1,100,65.4,27,191891.1,115134.7,383782.3,,17.1
Company_5,Finance,Middle East,2015,2720.9,16.1,3884.5,43.5,71.9,19.1,39.4,37894.7,18947.3,94736.7,,4.33
Company_5,Finance,Middle East,2016,2647.4,17.6,9275.6,42.5,74.2,16,37.4,36048.3,18024.2,90120.8,,-2.7
Company_5,Finance,Middle East,2017,2553.4,19.9,9760.9,44.3,74.7,18.7,39.6,34565.5,17282.7,86413.7,,-3.6
Company_5,Finance,Middle East,2018,2758.9,22.6,7367.6,45.4,75.8,18.7,41.8,36945.9,18472.9,92364.7,,8.1
Company_5,Finance,Middle East,2019,2746.9,21.3,11365.5,46,77,20.4,40.7,36325.1,18162.6,90812.9,,-0.4
Company_5,Finance,Middle East,2020,3243,19.3,10066.1,46.8,75.5,22.5,42.5,43534.1,21767,108835.2,,18.1
Company_5,Finance,Middle East,2021,3120.1,19.3,8787.3,47.5,78.5,22.7,41.3,40596.3,20298.2,101490.8,,-3.8
Company_5,Finance,Middle East,2022,3094.2,20.1,9600.4,47.6,78.4,22.3,42.3,40314,20157,100785.1,,-0.8
Company_5,Finance,Middle East,2023,3281.7,21.9,6441.8,45.9,76.5,20,41.3,43628.2,21814.1,109070.6,,6.1
Company_5,Finance,Middle East,2024,3282.1,22.5,9663,47.4,80.4,19.9,41.8,41818.8,20909.4,104546.9,,0
Company_5,Finance,Middle East,2025,3162.1,22.4,6674.6,48,82.1,18.7,43.3,39561.3,19780.6,98903.2,,-3.7
Company_6,Transportation,Oceania,2015,2339.1,0.8,256.7,69.1,56.9,76.8,73.7,1125550.2,187591.7,3751834,,4.33
Company_6,Transportation,Oceania,2016,2574.5,-1,11890.9,68.4,56.1,76.9,72.2,1246956.8,207826.1,4156522.6,,10.1
Company_6,Transportation,Oceania,2017,2508.9,-4,3844.3,68.7,60.3,75.8,70,1171117,195186.2,3903723.3,,-2.6
Company_6,Transportation,Oceania,2018,2472.4,-8.2,1595.7,66.9,60,73.1,67.5,1157116.5,192852.8,3857055.1,,-1.5
Company_6,Transportation,Oceania,2019,2598.8,-8.5,8095.7,68.7,62.3,73.8,70.1,1191171.2,198528.5,3970570.6,,5.1
Company_6,Transportation,Oceania,2020,2563.3,-11.4,10251.2,70.5,64,74.3,73.3,1156823.6,192803.9,3856078.8,,-1.4
Company_6,Transportation,Oceania,2021,2466.6,-8.5,7550,70.8,64.2,75.3,72.9,1110593.7,185099,3701979,,-3.8
Company_6,Transportation,Oceania,2022,2747.5,-7.9,12663.9,72.5,68.4,77,72.1,1188684.3,198114,3962281,,11.4
Company_6,Transportation,Oceania,2023,3009.5,-9.8,4910,71.7,68.1,75.7,71.2,1305812.3,217635.4,4352707.7,,9.5
Company_6,Transportation,Oceania,2024,3095.6,-8.6,2201.1,69.5,62.2,75.7,70.7,1420617.4,236769.6,4735391.3,,2.9
Company_6,Transportation,Oceania,2025,3297,-10,7887.8,73.1,68.2,77.4,73.6,1428863.2,238143.9,4762877.2,,6.5
Company_7,Healthcare,Oceania,2015,4664.1,6.2,4597.8,53,74.6,37.1,47.5,316163.3,316163.3,632326.6,,4.33
Company_7,Healthcare,Oceania,2016,5080.6,9,6228.6,52.4,72.7,38.3,46.1,351094.3,351094.3,702188.6,,8.9
Company_7,Healthcare,Oceania,2017,5192,6.4,7750.2,53.9,77.8,38.1,45.7,340222.4,340222.4,680444.7,,2.2
Company_7,Healthcare,Oceania,2018,5320.5,4.3,2608,53.4,77.7,38.4,44.2,349079,349079,698158.1,,2.5
Company_7,Healthcare,Oceania,2019,5421.6,1.3,1267,54.4,78.5,39,45.7,352693.8,352693.8,705387.6,,1.9
Company_7,Healthcare,Oceania,2020,6225.1,3.5,4571.3,53.9,78.3,38.5,45,406012.5,406012.5,812025.1,,14.8
Company_7,Healthcare,Oceania,2021,6470.9,-2.3,21238.4,53.3,78,34.6,47.2,423188.3,423188.3,846376.6,,3.9
Company_7,Healthcare,Oceania,2022,6387.4,-2.2,18488.5,53.9,80.9,34.8,45.8,404596.4,404596.4,809192.9,,-1.3
Company_7,Healthcare,Oceania,2023,6014.8,-1.7,10294.8,53.7,81.6,35.2,44.2,378353.9,378353.9,756707.8,,-5.8
Company_7,Healthcare,Oceania,2024,6084.6,-3.6,27425.5,55.8,81.9,39.1,46.5,381475.3,381475.3,762950.7,,1.2
Company_7,Healthcare,Oceania,2025,6444.2,0.1,38,58.4,87.6,41.6,46.1,378090.2,378090.2,756180.5,,5.9
Company_8,Healthcare,Europe,2015,7090.7,10.6,14828.8,74.4,69.4,87.8,66.1,506391,506391,1012782,,4.33
Company_8,Healthcare,Europe,2016,7395.2,10.4,17692.4,75.5,69.3,89.8,67.6,528938.5,528938.5,1057876.9,,4.3
Company_8,Healthcare,Europe,2017,7077.8,10.7,14011.4,76.8,71.8,92.2,66.6,493832.6,493832.6,987665.3,,-4.3
Company_8,Healthcare,Europe,2018,6957.5,8.2,9292.2,76.6,69.5,92.8,67.6,496422.5,496422.5,992845,,-1.7
Company_8,Healthcare,Europe,2019,6690.8,9.7,8033.5,77,67.2,98.8,64.9,488275.3,488275.3,976550.7,,-3.8
Company_8,Healthcare,Europe,2020,6751.9,8.7,7083.4,78.5,70.2,98.2,67,478492.5,478492.5,956984.9,,0.9
Company_8,Healthcare,Europe,2021,6397.5,10.1,10983.2,78.2,74.1,95.1,65.5,435991,435991,871982,,-5.2
Company_8,Healthcare,Europe,2022,6583.8,10.3,8606.9,79.6,75.2,95.3,68.3,443275.8,443275.8,886551.6,,2.9
Company_8,Healthcare,Europe,2023,6810.4,11.1,9866,79.6,75.4,95.2,68.2,457696.4,457696.4,915392.8,,3.4
Company_8,Healthcare,Europe,2024,7168.5,13.7,17539,81.4,78.2,95,71.1,468000.4,468000.4,936000.8,,5.3
Company_8,Healthcare,Europe,2025,7117.1,8.6,10386.3,81.6,77.1,97.6,69.9,469707.3,469707.3,939414.6,,-0.7
Company_9,Technology,North America,2015,1490.2,11.9,4559,59.8,37.8,77.7,63.7,69681.3,41808.8,139362.7,,4.33
Company_9,Technology,North America,2016,1761.8,9.7,4234.3,58.8,38,78.7,59.7,82263.8,49358.3,164527.5,,18.2
Company_9,Technology,North America,2017,2085,15.3,7991.2,60.2,37.2,77.2,66.2,97986.2,58791.7,195972.4,,18.3
Company_9,Technology,North America,2018,2575.4,14.1,5543,63.5,40.8,81.7,68.1,117733.8,70640.3,235467.6,,23.5
Company_9,Technology,North America,2019,3208.8,11.2,8416.4,63.3,40.5,83.8,65.6,147097.1,88258.2,294194.1,,24.6
Company_9,Technology,North America,2020,3584.9,10.1,10662.5,63.1,39.7,84.7,64.9,165277.3,99166.4,330554.5,,11.7
Company_9,Technology,North America,2021,4399.8,8.5,7008.7,63.8,39.7,84.3,67.3,202835.4,121701.3,405670.9,,22.7
Company_9,Technology,North America,2022,4673,6.7,8480.9,65.3,43.5,83.4,69,209222.4,125533.4,418444.8,,6.2
Company_9,Technology,North America,2023,5102.1,4.4,5222,63.3,45,80.8,64,225770.9,135462.6,451541.9,,9.2
Company_9,Technology,North America,2024,5853.9,6.3,5804.7,63.2,45.6,81.9,62.1,257772.5,154663.5,515545,,14.7
Company_9,Technology,North America,2025,6764,4.5,5954.9,63.5,48.4,82.6,59.6,291193.2,174715.9,582386.4,,15.5
Company_10,Technology,Latin America,2015,48720,11.9,186028.6,62.2,81.7,62.5,42.5,1530517.6,918310.6,3061035.3,,4.33
